,SerNo,PSNo,Data,GoodNo,GoodID,Num,Price
276,200304130205012.0,1019.0,20030413.0,4.0,1014962.0,1.0,2.6
277,200304130205012.0,1019.0,20030413.0,5.0,1002259.0,1.0,13.5
278,200304130206012.0,1019.0,20030413.0,1.0,1008675.0,0.102,15.0
279,200304130206012.0,1019.0,20030413.0,2.0,1036257.0,1.0,3.1
280,200304130206012.0,1019.0,20030413.0,3.0,1030589.0,1.0,3.5
281,200304130207012.0,1019.0,20030413.0,1.0,1035418.0,1.0,13.5
282,200304130207012.0,1019.0,20030413.0,2.0,1001958.0,1.0,2.6
283,200304130208012.0,1019.0,20030413.0,1.0,1033200.0,1.0,3.1
284,200304130208012.0,1019.0,20030413.0,2.0,1013719.0,1.0,3.8
285,200304130208012.0,1019.0,20030413.0,3.0,1048392.0,1.0,2.8
286,200304130208012.0,1019.0,20030413.0,4.0,1048315.0,2.0,2.0
287,200304130208012.0,1019.0,20030413.0,5.0,1040010.0,1.0,2.8
288,200304130208012.0,1019.0,20030413.0,6.0,1022460.0,0.402,18.0
289,200304130208012.0,1019.0,20030413.0,7.0,1040527.0,2.0,2.5
290,200304130209012.0,1019.0,20030413.0,1.0,1008643.0,0.452,25.4
291,200304130210012.0,1019.0,20030413.0,1.0,1023762.0,0.792,13.0
292,200304130210012.0,1019.0,20030413.0,2.0,1041162.0,24.0,2.2
293,200304130211012.0,1019.0,20030413.0,1.0,1009582.0,1.0,3.6
294,200304130211012.0,1019.0,20030413.0,2.0,1031965.0,1.0,8.8
295,200304130211012.0,1019.0,20030413.0,3.0,1002187.0,1.0,17.8
296,200304130211012.0,1019.0,20030413.0,4.0,1038987.0,1.0,4.8
297,200304130211012.0,1019.0,20030413.0,5.0,1001090.0,1.0,1.9
298,200304130211012.0,1019.0,20030413.0,6.0,1001020.0,1.0,2.2
299,200304130211012.0,1019.0,20030413.0,7.0,1048668.0,1.0,1.4
300,200304130211012.0,1019.0,20030413.0,8.0,1007997.0,1.0,1.9
301,200304130211012.0,1019.0,20030413.0,9.0,1031592.0,1.0,2.1
302,200304130211012.0,1019.0,20030413.0,10.0,1004261.0,1.0,1.5
303,200304130211012.0,1019.0,20030413.0,11.0,1036507.0,1.0,2.2
304,200304130211012.0,1019.0,20030413.0,12.0,1041017.0,1.0,2.1
305,200304130212012.0,1019.0,20030413.0,1.0,1048389.0,0.23,17.9
306,200304130212012.0,1019.0,20030413.0,3.0,1021779.0,0.094,24.8
307,200304130212012.0,1019.0,20030413.0,4.0,1032907.0,0.296,15.2
308,200304130212012.0,1019.0,20030413.0,5.0,1046119.0,1.0,6.4
309,200304130212012.0,1019.0,20030413.0,6.0,1003146.0,1.0,6.0
310,200304130212012.0,1019.0,20030413.0,7.0,1036277.0,2.0,1.5
311,200304130212012.0,1019.0,20030413.0,8.0,1036278.0,2.0,1.5
312,200304130212012.0,1019.0,20030413.0,9.0,1039988.0,1.0,6.2
313,200304130212012.0,1019.0,20030413.0,11.0,1005009.0,1.0,3.0
314,200304130213012.0,1019.0,20030413.0,1.0,1039888.0,1.0,13.1
315,200304130213012.0,1019.0,20030413.0,2.0,1042350.0,1.0,46.0
316,200304140002012.0,1019.0,20030414.0,1.0,1002663.0,1.0,26.9
317,200304140002012.0,1019.0,20030414.0,2.0,1036072.0,1.0,17.5
318,200304140002012.0,1019.0,20030414.0,3.0,1021160.0,1.0,6.2
319,200304140003012.0,1019.0,20030414.0,1.0,1021160.0,1.0,6.2
320,200304140003012.0,1019.0,20030414.0,2.0,1017307.0,1.0,2.8
321,200304140005012.0,1019.0,20030414.0,1.0,1032064.0,1.0,7.1
322,200304140005012.0,1019.0,20030414.0,2.0,1016244.0,3.0,2.5
323,200304140005012.0,1019.0,20030414.0,5.0,1015062.0,1.0,1.6
324,200304140005012.0,1019.0,20030414.0,6.0,1007650.0,3.0,4.2
325,200304140005012.0,1019.0,20030414.0,7.0,1041149.0,1.0,4.6
326,200304140005012.0,1019.0,20030414.0,8.0,1021314.0,1.0,4.4
327,200304140006012.0,1019.0,20030414.0,1.0,1025012.0,1.0,4.3
328,200304140006012.0,1019.0,20030414.0,3.0,1040712.0,1.0,3.0
329,200304140006012.0,1019.0,20030414.0,6.0,1038307.0,1.0,23.8
330,200304140006012.0,1019.0,20030414.0,7.0,1014515.0,1.0,4.0
331,200304140006012.0,1019.0,20030414.0,8.0,1046652.0,1.0,4.3
332,200304140006012.0,1019.0,20030414.0,9.0,1047063.0,1.0,4.1
333,200304140006012.0,1019.0,20030414.0,10.0,1047059.0,1.0,3.5
334,200304140006012.0,1019.0,20030414.0,11.0,1037589.0,1.0,16.9
335,200304140006012.0,1019.0,20030414.0,12.0,1037670.0,1.0,37.0
336,200304140006012.0,1019.0,20030414.0,15.0,1044052.0,2.0,20.6
337,200304140007012.0,1019.0,20030414.0,1.0,1036167.0,1.0,9.1
338,200304140007012.0,1019.0,20030414.0,2.0,1002680.0,1.0,4.3
339,200304140007012.0,1019.0,20030414.0,3.0,1041839.0,1.0,23.5
340,200304140007012.0,1019.0,20030414.0,4.0,1041447.0,1.0,41.5
341,200304140009012.0,1019.0,20030414.0,1.0,1010475.0,1.0,10.0
342,200304140009012.0,1019.0,20030414.0,2.0,1038656.0,1.0,1.6
343,200304140009012.0,1019.0,20030414.0,3.0,1036070.0,2.0,1.6
344,200304140009012.0,1019.0,20030414.0,4.0,1048803.0,2.0,1.5
345,200304140009012.0,1019.0,20030414.0,5.0,1007176.0,2.0,0.5
346,200304140009012.0,1019.0,20030414.0,6.0,1008821.0,0.222,27.0
347,200304140010012.0,1019.0,20030414.0,1.0,1003414.0,1.0,4.2
348,200304140010012.0,1019.0,20030414.0,2.0,1014085.0,1.0,2.9
349,200304140010012.0,1019.0,20030414.0,3.0,1005009.0,1.0,3.0
350,200304140012012.0,1019.0,20030414.0,1.0,1022718.0,0.208,19.6
351,200304140012012.0,1019.0,20030414.0,2.0,1018755.0,1.0,6.4
352,200304140012012.0,1019.0,20030414.0,3.0,1035949.0,1.0,3.7
353,200304140012012.0,1019.0,20030414.0,4.0,1006740.0,3.0,4.8
